Header Field Name,Template,Protocol,Status,Reference
Accept-Language,,mail,,[RFC4021]
Also-Control,,netnews,obsoleted,[RFC1849][RFC5536]
Alternate-Recipient,,mail,,[RFC4021]
Approved,,netnews,standard,[RFC5536]
ARC-Authentication-Results,,mail,experimental,[RFC8617]
ARC-Message-Signature,,mail,experimental,[RFC8617]
ARC-Seal,,mail,experimental,[RFC8617]
Archive,,netnews,standard,[RFC5536]
Archived-At,,mail,standard,[RFC5064]
Archived-At,,netnews,standard,[RFC5064]
Article-Names,,netnews,obsoleted,[RFC1849][RFC5536]
Article-Updates,,netnews,obsoleted,[RFC1849][RFC5536]
Authentication-Results,,mail,standard,[RFC8601]
Auto-Submitted,,mail,standard,[RFC3834 section 5]
Autoforwarded,,mail,,[RFC4021]
Autosubmitted,,mail,,[RFC4021]
Base,,MIME,obsoleted,[RFC1808][RFC2068 Section 14.11]
Bcc,,mail,standard,[RFC5322]
Body,,none,reserved,[RFC6068]
Cancel-Key,,netnews,standard,[RFC8315]
Cancel-Lock,,netnews,standard,[RFC8315]
Cc,,mail,standard,[RFC5322]
Comments,,mail,standard,[RFC5322]
Comments,,netnews,standard,[RFC5536][RFC5322]
Content-Alternative,,MIME,,[RFC4021]
Content-Base,,MIME,obsoleted,[RFC2110][RFC2557]
Content-Description,,MIME,,[RFC4021]
Content-Disposition,,MIME,,[RFC4021]
Content-Duration,,MIME,,[RFC4021]
Content-features,,MIME,,[RFC4021]
Content-ID,,MIME,,[RFC4021]
Content-Identifier,,mail,,[RFC4021]
Content-Language,,MIME,,[RFC4021]
Content-Location,,MIME,,[RFC4021]
Content-MD5,,MIME,,[RFC4021]
Content-Return,,mail,,[RFC4021]
Content-Transfer-Encoding,,MIME,,[RFC4021]
Content-Translation-Type,,MIME,standard,[RFC8255]
Content-Type,,MIME,,[RFC4021]
Control,,netnews,standard,[RFC5536]
Conversion,,mail,,[RFC4021]
Conversion-With-Loss,,mail,,[RFC4021]
DL-Expansion-History,,mail,,[RFC4021]
Date,,mail,standard,[RFC5322]
Date,,netnews,standard,[RFC5536][RFC5322]
Date-Received,,netnews,obsoleted,[RFC0850][RFC5536]
Deferred-Delivery,,mail,,[RFC4021]
Delivery-Date,,mail,,[RFC4021]
Discarded-X400-IPMS-Extensions,,mail,,[RFC4021]
Discarded-X400-MTS-Extensions,,mail,,[RFC4021]
Disclose-Recipients,,mail,,[RFC4021]
Disposition-Notification-Options,,mail,,[RFC4021]
Disposition-Notification-To,,mail,,[RFC4021]
Distribution,,netnews,standard,[RFC5536]
DKIM-Signature,,mail,standard,[RFC6376]
Downgraded-Bcc,,mail,obsoleted,[RFC5504][RFC6857]
Downgraded-Cc,,mail,obsoleted,[RFC5504][RFC6857]
Downgraded-Disposition-Notification-To,,mail,obsoleted,[RFC5504][RFC6857]
